Member,population,votes,population_share,votes_share
Afghanistan,42647492,4690,0.5279561672714056,0.09303613610809808
Albania,2791765,2845,0.03456075563183072,0.05643663267111706
Algeria,46814308,21051,0.5795394164126486,0.41759140750779794
Andorra,81938,2277,0.0010143544298896739,0.04516914326612778
Angola,37885849,8853,0.469009235803672,0.17561810510980644
Antigua and Barbuda,93772,1652,0.0011608538602310833,0.032770937494792755
Argentina,45696159,33325,0.5656972504893076,0.6610723317275838
Armenia,2973840,2740,0.036814759669300055,0.05435373410153277
Australia,26713205,67176,0.33069708594670344,1.3325789934323233
Austria,9120813,40772,0.11291143389813428,0.808799433134195
Azerbaijan,10336577,5369,0.12796202823898212,0.10650554685807645
"Bahamas, The",401283,3276,0.004967697389360468,0.06498643537102969
Bahrain,1607049,5402,0.01989452112816728,0.10716017212280295
Bangladesh,173562364,12118,2.148621552704778,0.24038633205926063
Barbados,282467,2397,0.0034968104267573837,0.047549598774224114
Belarus,9056696,8267,0.1121176951812845,0.16399354737860272
Belgium,11738763,65559,0.14532044046077522,1.3005023554607253
Belize,417072,1719,0.005163157885022164,0.03410002515347987
Benin,14462724,2690,0.1790418140261137,0.05336187763982597
Bhutan,791524,1656,0.009798699940979694,0.0328502860117293
Bolivia,12413315,3853,0.1536710813037411,0.0764324589391262
Bosnia and Herzegovina,3164253,4104,0.03917198427886561,0.08141157837689435
Botswana,2521139,3424,0.031210531292167526,0.06792233049768183
Brazil,211998573,111872,2.6244439900026775,2.219219321681268
Brunei Darussalam,462721,4465,0.005728271328967998,0.08857278203041746
Bulgaria,6757689,10415,0.08365705500459764,0.20660370097352695
Burkina Faso,23548781,2656,0.29152298476716276,0.05268741524586534
Burundi,14047786,2992,0.1739050740711531,0.05935269066853507
Cabo Verde,524877,1689,0.006497733775503458,0.03350491127645579
Cambodia,17638801,3202,0.2183601739399596,0.06351848780770364
Cameroon,29123744,4212,0.3605384405449585,0.08355398833418104
Canada,39742430,111691,0.4919928473367701,2.2156288012898893
Central African Republic,5330690,2566,0.06599146935327425,0.050902073614793104
Chad,20299123,2854,0.2512937262067096,0.05661516683422429
Chile,19764771,18895,0.2446786963265513,0.3748225568790006
China,1419321278,306281,17.57053901457167,6.075735778960423
Colombia,52886363,21897,0.6547086405550947,0.4343736188398771
Comoros,866628,1630,0.010728452621084579,0.03233452065164176
"Congo, Dem. Rep.",109276265,12112,1.3527894686781217,0.2402673092838558
"Congo, Rep.",6332961,3072,0.07839911939110718,0.06093966100726594
Costa Rica,5129910,5146,0.06350590609284261,0.1020818670388641
Cote d'Ivoire,31934230,7956,0.3953309534723294,0.1578242001867864
Croatia,3875325,8626,0.04797472578061706,0.17111507677365756
Cyprus,1358282,4490,0.016814901068361518,0.08906871026127086
Czech Republic,10735859,23254,0.13290495417658382,0.46129260321059967
Denmark,5977412,35846,0.073997587706262,0.7110817345268409
Djibouti,1168722,1770,0.01446823620309892,0.03511171874442081
Dominica,66205,1567,8.19587188250212e-4,0.031084781509891187
Dominican Republic,11427557,6226,0.14146785454571448,0.12350596661173104
Ecuador,18135478,8429,0.22450880479712373,0.16720716231453275
"Egypt, Arab Rep.",116538258,21823,1.4426895732618044,0.432905671276551
El Salvador,6338193,4324,0.07846388912404162,0.08577574680840427
Equatorial Guinea,1892516,3027,0.023428470163258636,0.06004699019172982
Eritrea,3535603,1611,0.04376912501380582,0.031957615196193175
Estonia,1360546,3888,0.016842928338117555,0.07712675846232096
Eswatini,1242822,2237,0.015385559828948037,0.04437565809676234
Ethiopia,132059767,4459,1.6348386544295463,0.08845375925501264
Fiji,928784,2436,0.01149791506762004,0.04832324681435542
Finland,5617310,25558,0.06953969199350196,0.5069973489660491
France,66548530,203003,0.823839930290535,4.02699674591732
Gabon,2538952,3612,0.03143104796891854,0.07165171079369942
"Gambia, The",2759988,2074,0.03416737111282117,0.04114220603159816
Georgia,3807670,3556,0.04713718826500543,0.07054083155658779
Germany,84552242,267796,1.0467175331324141,5.312303860384698
Ghana,34427414,8832,0.4261954148325048,0.17520152539588957
Greece,10047817,25741,0.12438731339147616,0.510627543615896
Grenada,117207,1616,0.0014509682889999635,0.032056800842363856
Guatemala,18406359,5738,0.2278621859184953,0.11382544754547266
