Member,GDP_2015,votes,GDP_2015_share,votes_share
Afghanistan,14965.088,4690,0.016386288222009614,0.09303613610809808
Albania,14864.61,2845,0.016276268055875537,0.05643663267111706
Algeria,184869.386,21051,0.20242600928387114,0.41759140750779794
Andorra,3233.138,2277,0.0035401817302732675,0.04516914326612778
Angola,110887.957,8853,0.12141873297048492,0.17561810510980644
Antigua and Barbuda,1685.379,1652,0.0018454355936511923,0.032770937494792755
Argentina,637640.905,33325,0.6981962051591711,0.6610723317275838
Armenia,15354.912,2740,0.016813132916799024,0.05435373410153277
Australia,1487777.149,67176,1.6290679462515514,1.3325789934323233
Austria,418414.577,40772,0.45815045357649975,0.808799433134195
Azerbaijan,56953.744,5369,0.062362510965959614,0.10650554685807645
"Bahamas, The",12988.1,3276,0.014221550187762548,0.06498643537102969
Bahrain,36989.381,5402,0.04050217801724428,0.10716017212280295
Bangladesh,387571.045,12118,0.4243777817995763,0.24038633205926063
Barbados,4899.142,2397,0.005364402324433549,0.047549598774224114
Belarus,59282.886,8267,0.06491284626114718,0.16399354737860272
Belgium,527814.697,65559,0.5779400530658204,1.3005023554607253
Belize,2628.924,1719,0.0028785869069235274,0.03410002515347987
Benin,17613.823,2690,0.019286567534348077,0.05336187763982597
Bhutan,2698.34,1656,0.0029545951858737764,0.0328502860117293
Bolivia,38759.495,3853,0.042440395700281915,0.0764324589391262
Bosnia and Herzegovina,20628.534,4104,0.022587578751392896,0.08141157837689435
Botswana,18043.654,3424,0.019757218602537895,0.06792233049768183
Brazil,1960342.279,111872,2.146511507148183,2.219219321681268
Brunei Darussalam,13089.149,4465,0.014332195580462264,0.08857278203041746
Bulgaria,63583.679,10415,0.06962207574788333,0.20660370097352695
Burkina Faso,17139.502,2656,0.018767201352488553,0.05268741524586534
Burundi,3614.653,2992,0.0039579283383132605,0.05935269066853507
Cabo Verde,2239.421,1689,0.002452093696770843,0.03350491127645579
Cambodia,26303.472,3202,0.028801452649764546,0.06351848780770364
Cameroon,41778.277,4212,0.045745864530897185,0.08355398833418104
Canada,1769644.439,111691,1.9377035289021027,2.2156288012898893
Central African Republic,2070.071,2566,0.0022666609141238367,0.050902073614793104
Chad,15440.351,2854,0.016906685863457293,0.05661516683422429
Chile,281483.815,18895,0.30821568990578824,0.3748225568790006
China,17174196.329,306281,18.805190522660034,6.075735778960423
Colombia,356603.2,21897,0.3904689913010159,0.4343736188398771
Comoros,1263.971,1630,0.001384007438530379,0.03233452065164176
"Congo, Dem. Rep.",54897.806,12112,0.060111325230561195,0.2402673092838558
"Congo, Rep.",10541.171,3072,0.011542241930250547,0.06093966100726594
Costa Rica,72657.911,5146,0.07955806683229143,0.1020818670388641
Cote d'Ivoire,72095.059,7956,0.07894176206359682,0.1578242001867864
Croatia,65975.528,8626,0.0722410731836168,0.17111507677365756
Cyprus,28946.188,4490,0.03169514135142246,0.08906871026127086
Czech Republic,214787.577,23254,0.23518546253981815,0.46129260321059967
Denmark,366305.865,35846,0.40109309623187933,0.7110817345268409
Djibouti,3481.337,1770,0.0038119516223323433,0.03511171874442081
Dominica,552.88,1567,6.053857506340541e-4,0.031084781509891187
Dominican Republic,101055.704,6226,0.11065273336328457,0.12350596661173104
Ecuador,101632.761,8429,0.11128459214838014,0.16720716231453275
"Egypt, Arab Rep.",478416.794,21823,0.5238509440595204,0.432905671276551
El Salvador,27715.648,4324,0.030347739778594306,0.08577574680840427
Equatorial Guinea,9416.791,3027,0.010311082130116849,0.06004699019172982
Eritrea,2459.528,1611,0.0026931037557616,0.031957615196193175
Estonia,27207.282,3888,0.029791095420855132,0.07712675846232096
Eswatini,4715.899,2237,0.00516375715531288,0.04437565809676234
Ethiopia,106396.85,4459,0.11650111579791068,0.08845375925501264
Fiji,5303.979,2436,0.005807685769538162,0.04832324681435542
Finland,260228.597,25558,0.28494191240647476,0.5069973489660491
France,2661082.251,203003,2.913799153560616,4.02699674591732
Gabon,16108.685,3612,0.017638490016735144,0.07165171079369942
"Gambia, The",1931.397,2074,0.002114817361122414,0.04114220603159816
Georgia,21499.806,3556,0.023541593462951343,0.07054083155658779
Germany,3621192.944,267796,3.9650893658554844,5.312303860384698
Ghana,70756.691,8832,0.0774762923119245,0.17520152539588957
Greece,219301.332,25741,0.2401278785412167,0.510627543615896
Grenada,1124.157,1616,0.0012309156223331034,0.032056800842363856
Guatemala,80822.04,5738,0.0884975245137743,0.11382544754547266
Guinea,14513.18,3594,0.015891463551561173,0.07129464246748496
Guinea-Bissau,1489.954,1736,0.0016314515278183536,0.03443725635046018
Guyana,19822.526,3270,0.02170502601282928,0.06486741259562488
Haiti,13581.475,3090,0.01487127665604225,0.06129672933348039
Honduras,26804.508,3950,0.029350070894147928,0.0783566604748374
Hungary,155549.226,20852,0.17032138066588792,0.4136438187902049
Iceland,22517.926,4670,0.02465640199361902,0.09263939352341535
India,3224749.043,132596,3.5309960931902085,2.6303239879295037
Indonesia,1178463.126,47936,1.2903790770656631,0.9509126269675457
"Iran, Islamic Rep.",513860.382,37123,0.5626605286466715,0.7364137485588326
Iraq,185907.425,18090,0.20356262847646703,0.35885366784552114
Ireland,488562.752,35951,0.5349604405139617,0.7131646330964251
Israel,416490.465,20661,0.4560436130551859,0.4098549271064849
Italy,1972321.224,152152,2.159628065190848,3.0182588872322684
Jamaica,14980.856,5281,0.016403553672950138,0.10475987948547248
Japan,4595077.672,309657,5.0314617017897225,6.142705927254866
Jordan,44060.561,4883,0.04824489182886436,0.09686470205028633
Kazakhstan,237850.217,13036,0.2604383087777052,0.2585968166961975
Kenya,98304.349,6880,0.1076400884639651,0.13647944913085602
Kiribati,190.185,1564,2.0824643500278101e-4,0.03102527012218878
