"ISO3","ISO2","year","co2","population","gdp","region","unctad_development_status","region2","gdp_per_capita","co2_per_capita","accumulated_co2"
"ABW","AW",1972,840286.666666667,58875.3333333333,295.913,"America","developing","Developing America",5026.22748241471,14.2715065229685,1728900
"ABW","AW",1973,820520,59037,322.807,"America","developing","Developing America",5466.23689771764,13.8960756734404,2549420
"ABW","AW",1974,813773.333333333,59484,352.145333333333,"America","developing","Developing America",5916.88273205937,13.6816194921402,3363193.33333333
"ABW","AW",1975,742750,60123.3333333333,384.15,"America","developing","Developing America",6385.68493095159,12.3738129491053,4105943.33333333
"ABW","AW",1976,859296.666666667,60735.3333333333,419.063333333333,"America","developing","Developing America",6896.47196531883,14.1298454792873,4965240
"ABW","AW",1977,808856.666666667,61198.3333333333,457.149666666667,"America","developing","Developing America",7467.67773345521,13.2111640996051,5774096.66666667
"ABW","AW",1978,799383.333333333,61500.3333333333,498.697666666667,"America","developing","Developing America",8107.22396900318,13.011752184512,6573480
"ABW","AW",1979,582640,61708.6666666667,544.021666666667,"America","developing","Developing America",8814.43468679101,9.44304805550368,7156120
"ABW","AW",1980,565530,61884.6666666667,593.465,"America","developing","Developing America",9588.46415304782,9.13788603413502,7721650
"ABW","AW",1981,570640,62067,647.402,"America","developing","Developing America",10428.9528712262,9.19422400292156,8292290
"ABW","AW",1982,588840,62319,706.241,"America","developing","Developing America",11329.6245424136,9.44775036593042,8881130
"ABW","AW",1983,500503.333333333,62671.3333333333,770.427666666667,"America","developing","Developing America",12288.7849216442,7.99502032989039,9381633.33333333
"ABW","AW",1984,581343.333333333,63072.3333333333,840.447666666667,"America","developing","Developing America",13320.5197770253,9.21213206743271,9962976.66666667
"ABW","AW",1985,685696.666666667,63408.6666666667,916.831666666667,"America","developing","Developing America",14455.5717400907,10.7987608236089,10648673.3333333
"ABW","AW",1986,638736.666666667,63583.6666666667,1000.15766666667,"America","developing","Developing America",15728.7495130938,10.0466710836805,11287410
"ABW","AW",1987,521026.666666667,63563.3333333333,1116.41433333333,"America","developing","Developing America",17566.8401181166,8.19432339805343,11808436.6666667
"ABW","AW",1988,412813.333333333,63410.6666666667,1283.49433333333,"America","developing","Developing America",20248.2390966936,6.51770325731794,12221250
"ABW","AW",1989,569143.333333333,63333.6666666667,1480.955,"America","developing","Developing America",23384.0308583261,8.98729303269938,12790393.3333333
"ABW","AW",1990,582576.666666667,63675.3333333333,1642.281,"America","developing","Developing America",25782.1636774199,9.15839591015092,13372970
"ABW","AW",1991,555706.666666667,64788.6666666667,1771.45566666667,"America","developing","Developing America",27326.6026011492,8.59261794321444,13928676.6666667
