"ISO3","ISO2","year","co2","population","gdp","region","unctad_development_status","region2","gdp_per_capita","co2_per_capita","accumulated_co2"
"ABW","AW",1972,840286.666666667,58925.6666666667,295.913,"America","developing","Developing America",5022.43189216726,14.2579328027388,1728900
"ABW","AW",1973,820520,59012,322.807,"America","developing","Developing America",5468.80232925951,13.9021126665078,2549420
"ABW","AW",1974,813773.333333333,59416,352.145333333333,"America","developing","Developing America",5923.77101042073,13.6972262948983,3363193.33333333
"ABW","AW",1975,742750,60036,384.15,"America","developing","Developing America",6395.03288356175,12.3914541259195,4105943.33333333
"ABW","AW",1976,859296.666666667,60645.3333333333,419.063333333333,"America","developing","Developing America",6906.65914847448,14.1501907217914,4965240
"ABW","AW",1977,808856.666666667,61124.3333333333,457.149666666667,"America","developing","Developing America",7476.55555489005,13.2272496875927,5774096.66666667
"ABW","AW",1978,799383.333333333,61465.3333333333,498.697666666667,"America","developing","Developing America",8111.50158460233,13.0218871628449,6573480
"ABW","AW",1979,582640,61736.3333333333,544.021666666667,"America","developing","Developing America",8809.89460721102,9.43929429853458,7156120
"ABW","AW",1980,565530,62003.6666666667,593.465,"America","developing","Developing America",9569.20177852339,9.12003212668606,7721650
"ABW","AW",1981,570640,62295.6666666667,647.402,"America","developing","Developing America",10389.6323265828,9.1606803918438,8292290
"ABW","AW",1982,588840,62665.6666666667,706.241,"America","developing","Developing America",11265.9016035133,9.39525576336789,8881130
"ABW","AW",1983,500503.333333333,63137.6666666667,770.427666666667,"America","developing","Developing America",12196.9436008828,7.93844032103911,9381633.33333333
"ABW","AW",1984,581343.333333333,63657.6666666667,840.447666666667,"America","developing","Developing America",13196.8740880071,9.12597808486273,9962976.66666667
"ABW","AW",1985,685696.666666667,64111.6666666667,916.831666666667,"America","developing","Developing America",14295.7944222232,10.6748575213982,10648673.3333333
"ABW","AW",1986,638736.666666667,64401.6666666667,1000.15766666667,"America","developing","Developing America",15527.4707048189,9.92478966428599,11287410
"ABW","AW",1987,521026.666666667,64493.6666666667,1116.41433333333,"America","developing","Developing America",17310.9556436081,8.08061460425296,11808436.6666667
"ABW","AW",1988,412813.333333333,64445,1283.49433333333,"America","developing","Developing America",19919.8127929048,6.40949510269241,12221250
"ABW","AW",1989,569143.333333333,64459.3333333333,1480.955,"America","developing","Developing America",22972.9278242312,8.82899685170977,12790393.3333333
"ABW","AW",1990,582576.666666667,64880,1642.281,"America","developing","Developing America",25302.4940657185,8.98902376527337,13372970
"ABW","AW",1991,555706.666666667,66057.3333333333,1771.45566666667,"America","developing","Developing America",26801.7251385981,8.42807633913914,13928676.6666667
"ABW","AW",1992,519066.666666667,67922.6666666667,1877.01466666667,"America","developing","Developing America",27614.151006796,7.63927495137223,14447743.3333333
"ABW","AW",1993,572806.666666667,70138.6666666667,2009.03433333333,"America","developing","Developing America",28624.3306684396,8.15484277480949,15020550
"ABW","AW",1994,615553.333333333,72420.6666666667,2153.28866666667,"America","developing","Developing America",29706.1399264348,8.48788795188064,15636103.3333333
"ABW","AW",1995,671733.333333333,74706.6666666667,2279.93333333333,"America","developing","Developing America",30505.552315708,8.98936296425792,16307836.6666667
"ABW","AW",1996,697380,77059,2367.79066666667,"America","developing","Developing America",30734.4749489657,9.04682881396306,17005216.6666667
"ABW","AW",1997,730356.666666667,79441.6666666667,2459.731,"America","developing","Developing America",30954.0867520169,9.19272926780235,17735573.3333333
"ABW","AW",1998,763333.333333333,81876.6666666667,2589.95866666667,"America","developing","Developing America",31607.2561430441,9.31872900165583,18498906.6666667
"ABW","AW",1999,791423.333333333,84360,2720.972,"America","developing","Developing America",32249.0488448658,9.38094922685861,19290330
"ABW","AW",2000,1331240,86774.3333333333,2831.42033333333,"America","developing","Developing America",32629.6431130372,15.1883679702649,20621570
"ABW","AW",2001,1864946.66666667,88886.3333333333,2868.595,"America","developing","Developing America",32275.3904789318,20.8507248168481,22486516.6666667
"ABW","AW",2002,2407233.33333333,90524.3333333333,2896.29566666667,"America","developing","Developing America",32001.9548532949,26.5928487320998,24893750
"ABW","AW",2003,2468300,91724.3333333333,2886.90466666667,"America","developing","Developing America",31475.5047618438,26.9061294612318,27362050
"ABW","AW",2004,2537933.33333333,92674,2966.41566666667,"America","developing","Developing America",32003.1757312466,27.3810754567034,29899983.3333333
"ABW","AW",2005,2631966.66666667,93574.6666666667,3057.527,"America","developing","Developing America",32668.050929023,28.1232455208984,32531950
"ABW","AW",2006,2683266.66666667,94543,3154.133,"America","developing","Developing America",33361.861850399,28.3800007268104,35215216.6666667
"ABW","AW",2007,2751666.66666667,95625.3333333333,3212.96133333333,"America","developing","Developing America",33596.9146778535,28.7739545688068,37966883.3333333
"ABW","AW",2008,2730900,96796.3333333333,3245.60933333333,"America","developing","Developing America",33530.8772488486,28.2182013468587,40697783.3333333
"ABW","AW",2009,2701600,97998.3333333333,3161.99533333333,"America","developing","Developing America",32284.1063055131,27.5788214859532,43399383.3333333
"ABW","AW",2010,2596566.66666667,99183,3015.04733333333,"America","developing","Developing America",30417.7424938643,26.1879058660441,45995950
"ABW","AW",2011,2544033.33333333,100280.333333333,2892.35233333333,"America","developing","Developing America",28846.6181899846,25.3755786491692,48539983.3333333
"ABW","AW",2012,2117800,101247,2859.656,"America","developing","Developing America",28246.1583376056,20.9507281151677,50657783.3333333
"ABW","AW",2013,1569413.33333333,102093.333333333,2918.28266666667,"America","developing","Developing America",28582.0551600011,15.4149058987856,52227196.6666667
"ABW","AW",2014,1027156.66666667,102862,2950.03633333333,"America","developing","Developing America",28677.1402136589,9.99741199605062,53254353.3333333
"ABW","AW",2015,876916.666666667,103577,2991.32233333333,"America","developing","Developing America",28882.4661437619,8.4657963510258,54131270
"ABW","AW",2016,884243.333333333,104241.666666667,2986.08633333333,"America","developing","Developing America",28645.9079380885,8.48261491885114,55015513.3333333
"ABW","AW",2017,890350,104856.666666667,3067.683,"America","developing","Developing America",29251.9132545108,8.49143272705739,55905863.3333333
"ABW","AW",2018,881800,105425,3181.09133333333,"America","developing","Developing America",30169.7586172206,8.36456178805894,56787663.3333333
"ABW","AW",2019,884243.333333333,105947.666666667,3252.16066666667,"America","developing","Developing America",30696.3271100649,8.34617219645138,57671906.6666667
"ABW","AW",2020,884243.333333333,106329.666666667,2994.44166666667,"America","developing","Developing America",28168.6949552271,8.31590816650224,58556150
"ABW","AW",2021,879556.666666667,106521.333333333,2937.11866666667,"America","developing","Developing America",27574.5559929279,8.25711154245115,59435706.6666667
"ABW","AW",2022,871396.666666667,106522.333333333,3014.30633333333,"America","developing","Developing America",28299.4124829956,8.18037365293739,60307103.3333333
