"ISO3","gdp_per_capita","co2_per_capita","co2","region1"
"AGO",7247.47644174942,0.566471,20780.541,"Africa"
"ALB",18059.9379072012,1.816201,5144.279,"Developed"
"AND",64526.5560970389,5.292602,423.874,"Developed"
"ARE",75627.0549093526,24.102843,229383.648,"Developing Asia and Oceania"
"ARG",26466.546559696,4.277679,195805.967,"Latin America and the Caribbean"
"ARM",20780.6440042171,2.738807,7608.323,"Developing Asia and Oceania"
"ATG",28665.5966277554,6.838177,644.826,"Latin America and the Caribbean"
"AUS",59456.3884188866,14.485056,382971.999,"Developed"
"AUT",64643.9721835092,6.538488,58578.05,"Developed"
"AZE",21349.3504704388,4.219576,43936.972,"Developing Asia and Oceania"
"BDI",857.091185959627,0.053609,709.7,"Africa"
"BEL",63572.4919333446,7.133962,83368.476,"Developed"
"BEN",3829.28494585008,0.407816,5592.317,"Africa"
"BFA",2457.97437726277,0.266073,6186.583,"Africa"
"BGD",8171.51709110155,0.65582,113426.867,"Developing Asia and Oceania"
"BGR",33289.1140849609,5.396998,36093.597,"Developed"
"BHR",57550.2932135972,24.58872,36526.765,"Developing Asia and Oceania"
"BHS",32047.9042744282,6.07177,2505.352,"Latin America and the Caribbean"
"BIH",19860.3408046966,6.284675,20179.129,"Developed"
"BLR",27718.367024278,5.9475,56490.771,"Developed"
"BLZ",12795.1797987738,1.625747,667.898,"Latin America and the Caribbean"
"BOL",9668.95710190812,1.885561,23359.405,"Latin America and the Caribbean"
"BRA",18554.1053421197,2.24778,486470.101,"Latin America and the Caribbean"
"BRB",17447.9035851883,4.226097,1191.738,"Latin America and the Caribbean"
"BRN",77919.220301413,26.008787,11769.6,"Developing Asia and Oceania"
"BWA",17471.3419555019,2.509411,6713.559,"Africa"
"CAF",1018.52649855231,0.048972,281.213,"Africa"
"CAN",55817.8974279145,14.16402,549299.001,"Developed"
"CHE",82914.2887321232,3.721556,32737.301,"Developed"
"CHL",29506.5351824219,3.937306,77287.707,"Latin America and the Caribbean"
"CHN",22135.432455881,8.348701,11902503.16,"Developing Asia and Oceania"
"CIV",7022.41597630824,0.457022,13195.601,"Africa"
"CMR",4849.49485319657,0.347028,9941.406,"Africa"
"COD",1506.04566749652,0.045138,4615.953,"Africa"
"COG",6249.11807461706,1.256673,7674.34,"Africa"
"COL",18777.4054002163,2.020511,105238.661,"Latin America and the Caribbean"
"COM",3474.57737842442,0.526633,448.731,"Africa"
"CPV",8190.02629620889,0.893578,534.969,"Africa"
"CRI",25754.7863607816,1.588404,8279.034,"Latin America and the Caribbean"
"CYP",37278.14584744,5.693202,7174.221,"Developed"
"CZE",47730.5242542234,8.15834,85624.182,"Developed"
"DEU",61909.0273088019,7.15714,596151.376,"Developed"
"DJI",6493.48774356271,0.433403,492.543,"Africa"
"DMA",15862.8273613264,2.232469,163.06,"Latin America and the Caribbean"
"DNK",72034.3137948085,4.612617,27264.779,"Developed"
"DOM",23084.4568014642,2.825353,32019.646,"Latin America and the Caribbean"
"DZA",15347.532423437,3.905865,178132.763,"Africa"
"ECU",14304.9218464541,2.373377,43172.869,"Latin America and the Caribbean"
"EGY",16960.5673160065,2.386571,269006.205,"Africa"
"ESP",46356.6080807017,4.663665,221615.65,"Developed"
"EST",41997.7743676807,7.574089,10018.74,"Developed"
"ETH",2802.59760946858,0.120347,15227.142,"Africa"
"FIN",57505.508701151,5.702307,31622,"Developed"
"FJI",13562.3807639268,1.22403,1146.151,"Developing Asia and Oceania"
"FRA",55213.7155963526,4.207693,272475.817,"Developed"
"FSM",3800.61839351667,1.297455,149.498,"Developing Asia and Oceania"
"GAB",19782.2817802776,2.22072,5410.93,"Africa"
"GBR",54126.1358941084,4.504883,305146.343,"Developed"
"GEO",22246.851845613,3.156666,11768.941,"Developing Asia and Oceania"
"GHA",6729.93280285684,0.575792,19647.176,"Africa"
"GIN",3992.46179590028,0.284892,4042.787,"Africa"
"GMB",2850.57760406569,0.256349,710.899,"Africa"
"GNB",2370.85751496925,0.138552,298.003,"Africa"
"GNQ",16876.8677696304,3.581661,6141.37,"Africa"
"GRC",36267.6918550159,5.337465,55196.202,"Developed"
"GRD",15912.8118010249,2.689452,339.363,"Latin America and the Caribbean"
"GTM",12679.0821468473,1.126591,20382.32,"Latin America and the Caribbean"
"GUY",49811.7872052476,4.356011,3545.07,"Latin America and the Caribbean"
"HKG",64431.089087809,4.521199,33871.057,"Developing Asia and Oceania"
"HND",6499.47357583055,1.042328,11042.214,"Latin America and the Caribbean"
"HRV",41343.5242562371,4.371603,17524.081,"Developed"
"HTI",2934.43258174111,0.300392,3522.026,"Latin America and the Caribbean"
"HUN",40553.7767445831,3.957189,40190.156,"Developed"
"IDN",14072.8537097538,2.641924,733223.934,"Developing Asia and Oceania"
"IND",9172.09610837894,2.143543,3062324.49,"Developing Asia and Oceania"
"IRL",115624.999310255,6.809024,34432.79,"Developed"
"IRN",16153.9873464007,9.171857,817879.906,"Developing Asia and Oceania"
"IRQ",12590.8044549037,3.877808,176457.948,"Developing Asia and Oceania"
"ISL",66451.3629509103,10.0247,3762.45,"Developed"
"ISR",48277.625088751,6.484208,59489.495,"Developed"
"ITA",52699.9456619047,5.324555,313460.637,"Developed"
"JAM",10343.1854693134,2.706982,7648.698,"Latin America and the Caribbean"
"JOR",9421.00360606778,1.868994,21188.884,"Developing Asia and Oceania"
"JPN",46268.4172324006,8.019698,988784.724,"Developed"
"KAZ",35452.9698522831,13.014038,255161.466,"Developing Asia and Oceania"
"KEN",5699.82119079508,0.390759,21531.041,"Africa"
"KGZ",6402.19625079454,1.507323,10152.343,"Developing Asia and Oceania"
"KHM",5069.40900667111,1.190832,20178.442,"Developing Asia and Oceania"
"KIR",3174.38325509414,0.516789,68.999,"Developing Asia and Oceania"
"KOR",50572.2499861829,11.15047,577416.597,"Developed"
"KWT",50824.7153499065,23.023412,99233.392,"Developing Asia and Oceania"
"LAO",8406.38909144236,3.248233,24796.291,"Developing Asia and Oceania"
"LBR",1639.62858585062,0.142294,771.001,"Africa"
"LBY",17703.8686817027,8.851988,60975.928,"Africa"
"LCA",22650.1674485972,2.837233,511.414,"Latin America and the Caribbean"
"LKA",13029.5242622749,0.928013,20317.523,"Developing Asia and Oceania"
"LSO",2518.2938232857,1.668777,3888.782,"Africa"
"LTU",46210.4010717003,4.584278,12461.681,"Developed"
"LUX",132414.220235155,10.680309,6993.124,"Developed"
"LVA",37812.577025655,3.558545,6512.889,"Developed"
"MAC",102019.508695035,1.501806,1057.495,"Developing Asia and Oceania"
"MAR",8918.58870688927,1.814681,68667.609,"Africa"
"MDA",15669.6945157173,1.735257,5962.224,"Developed"
"MDG",1690.16460034212,0.14761,4476.379,"Africa"
"MDV",22361.7374687627,3.958199,2062.305,"Developing Asia and Oceania"
"MEX",22366.6578892324,3.757124,482623.43,"Latin America and the Caribbean"
"MHL",6752.4843259094,3.651091,153.331,"Developing Asia and Oceania"
"MKD",23423.948904794,3.571414,7448.824,"Developed"
"MLI",2457.08522353106,0.290279,6761.669,"Africa"
"MLT",57230.1461674041,3.405629,1822.23,"Developed"
"MMR",5322.78817435182,0.553945,30233.225,"Developing Asia and Oceania"
"MNE",27776.4010250084,3.716576,2328.379,"Developed"
"MNG",16321.9473274406,13.596702,46869.966,"Developing Asia and Oceania"
"MOZ",1493.66314394739,0.236696,8023.384,"Africa"
"MRT",6250.3256516632,0.907384,4412.598,"Africa"
"MUS",26588.9323916997,3.182434,4138.937,"Africa"
"MWI",1683.45858882455,0.08372,1752.411,"Africa"
"MYS",33573.8290400124,8.418422,288823.655,"Developing Asia and Oceania"
"NAM",11498.3189636003,1.602892,4174.206,"Africa"
"NER",1638.0875044045,0.095491,2597.634,"Africa"
"NGA",5694.97691566973,0.574339,128539.711,"Africa"
"NIC",7250.35496838645,0.793093,5588.379,"Latin America and the Caribbean"
"NLD",69335.6086116879,6.735518,118668.362,"Developed"
"NOR",90500.8481506133,7.106036,38901,"Developed"
"NPL",4670.7383635653,0.539775,16677.209,"Developing Asia and Oceania"
"NRU",11420.8124583876,4.499156,57.499,"Developing Asia and Oceania"
"NZL",48777.5906936909,5.761029,30119.236,"Developed"
"OMN",40039.7786170521,16.904566,78511.296,"Developing Asia and Oceania"
"PAK",5599.3224288594,0.834423,200666.686,"Developing Asia and Oceania"
"PAN",35779.8160966517,3.137436,14018.338,"Latin America and the Caribbean"
"PER",15068.4886780998,1.626178,55863.635,"Latin America and the Caribbean"
"PHL",9694.64608584181,1.317386,154578.656,"Developing Asia and Oceania"
"PLW",15765.577781913,12.31201,222.33,"Developing Asia and Oceania"
"PNG",4152.93921863156,0.805622,8322.015,"Developing Asia and Oceania"
"POL",44050.9498706981,7.051164,289281.511,"Developed"
"PRT",41709.5820951052,3.632862,37228.139,"Developed"
"PRY",15743.1415349462,1.186221,8139.286,"Latin America and the Caribbean"
"PSE",5307.60122308796,0.651042,3496.897,"Developing Asia and Oceania"
"ROU",40517.5453176909,3.430359,68239.478,"Developed"
"RUS",40436.9877203431,12.571794,1815924.704,"Developed"
"RWA",3029.58809188402,0.109277,1540.22,"Africa"
"SAU",49567.6956726727,19.925971,736205.346,"Developing Asia and Oceania"
"SDN",2827.73261722549,0.415753,20001.454,"Africa"
"SEN",4356.33350629661,0.669962,11900.644,"Africa"
"SGP",127543.55475211,8.188704,49252.784,"Developing Asia and Oceania"
"SLB",2735.51632934578,0.408994,302.829,"Developing Asia and Oceania"
"SLE",1664.53891880764,0.140086,1231.506,"Africa"
"SLV",11305.2168633852,1.293061,8230.26,"Latin America and the Caribbean"
"SOM",1452.35753152516,0.030734,557.614,"Africa"
"SRB",24510.7874265426,5.924931,42357.788,"Developed"
"STP",5465.56640625004,0.716701,166.171,"Africa"
"SUR",18971.2247482981,4.247903,2647.446,"Latin America and the Caribbean"
"SVK",39259.8837932506,5.304246,30739.161,"Developed"
"SVN",48109.078282338,5.344399,11328.39,"Developed"
"SWE",64190.6177777815,3.444778,36556.278,"Developed"
"SWZ",10582.7772792386,0.911951,1104.21,"Africa"
"SXM",46444.8042489216,15.671004,693.003,"Latin America and the Caribbean"
"SYC",29468.9512755912,5.118103,551.015,"Africa"
"TCA",22371.5176662277,8.045459,370.59,"Latin America and the Caribbean"
"TCD",1775.063825011,0.16847,3079.389,"Africa"
"TGO",2844.09966599825,0.289385,2620.035,"Africa"
"THA",21112.6386124449,3.682228,264388.648,"Developing Asia and Oceania"
"TJK",4580.89928296233,0.892639,9054.525,"Developing Asia and Oceania"
"TLS",4604.8154515705,0.464592,632.121,"Developing Asia and Oceania"
"TTO",28458.0334039736,22.357879,34317.936,"Latin America and the Caribbean"
"TUN",12332.1455589953,2.632227,32792.873,"Africa"
"TUR",34414.2306458287,5.034916,432077.319,"Developing Asia and Oceania"
"TUV",5194.98503902064,1.009112,11.5,"Developing Asia and Oceania"
"TZA",3470.58724405453,0.267891,18066.045,"Africa"
"UGA",2792.53340571126,0.115549,5613.657,"Africa"
"UKR",15134.6316610178,3.713756,136460.587,"Developed"
"URY",30701.9058579633,2.297896,7865.945,"Latin America and the Caribbean"
"USA",73637.3027885905,14.445414,4911391.017,"Developed"
"UZB",8765.54921241886,3.548192,124768.439,"Developing Asia and Oceania"
"VCT",17915.2798874103,2.287195,237.178,"Latin America and the Caribbean"
"VNM",13695.6711935082,3.385896,334726.077,"Developing Asia and Oceania"
"VUT",2988.09606713927,0.676112,226.164,"Developing Asia and Oceania"
"WSM",6021.67913495695,1.138021,256.83,"Developing Asia and Oceania"
"ZAF",14284.3399167492,6.652263,401893.083,"Africa"
"ZMB",3718.70056385559,0.376715,7748.922,"Africa"
"ZWE",3515.23842464472,0.669892,11164.03,"Africa"
