"region2","year","co2","population","gdp","gdp_per_capita","co2_per_capita","accumulated_co2"
"Africa",1972,314586395,286772282.666667,443085.403,1544.40770546595,1.09603895858946,613241832.333333
"Africa",1973,338645755,294322816,464475.02,1577.51697413335,1.14980099925875,951887587.333333
"Africa",1974,356947836.333333,302190996,491625.588333333,1625.99515856595,1.18073225958798,1308835423.66667
"Africa",1975,368655719.666667,310307020,513828.996666667,1655.29740800983,1.18830033567675,1677491143.33333
"Africa",1976,383149599.333333,318900757.333333,541210.254666667,1696.67608698912,1.20113024162345,2060640742.66667
"Africa",1977,398704802,327898090.666667,564968.076666667,1722.16957025324,1.21525271089235,2459345544.66667
"Africa",1978,423647196.666667,337289105,589330.948666667,1747.1126832672,1.25552972589413,2882992741.33333
"Africa",1979,449436149.333333,347148438,608762.083666667,1753.70426776911,1.29360067240402,3332428890.66667
"Africa",1980,482924283.333333,357569721.666667,627471.693666667,1754.65237153253,1.34936883845078,3815353174
"Africa",1981,511655840.666667,368395215.333333,642293.47,1743.8535428218,1.38832152437754,4327009014.66667
"Africa",1982,536073056.666667,379465656,652868.145666667,1721.2806338453,1.41257543005175,4863082071.33333
"Africa",1983,555713064.666667,390679203.666667,654852.104333333,1676.99437964055,1.4221165657336,5418795136
"Africa",1984,588854150,402112432.333333,663909.948,1651.48657217814,1.46337549325439,6007649286
"Africa",1985,619257023.333333,413884358.666667,678944.226,1640.24250147087,1.49543756256104,6626906309.33333
"Africa",1986,650573022.666667,425965912,695508.559333333,1633.05438902083,1.52725047350947,7277479332
"Africa",1987,663074985.333333,438285644.333333,708267.533,1616.56888847359,1.51318023267487,7940554317.33333
"Africa",1988,681498630,450661723.666667,724417.064333333,1607.33936281656,1.51237425270282,8622052947.33333
"Africa",1989,682968663.333333,463100705.666667,748411.535333333,1615.67605910462,1.47535764320608,9305021610.66667
"Africa",1990,672525406,476241922.666667,779252.571,1635.99126918467,1.41416913002839,9977547016.66667
"Africa",1991,661853348,489831462.666667,807387.135666667,1648.06925851912,1.3520850582714,10639400364.6667
"Africa",1992,654233709.333333,520656552,834757.295,1607.51656020634,1.2614867454114,11293634074
"Africa",1993,672410528,551505934,851820.142333333,1549.42791579227,1.22365530827084,11966044602
"Africa",1994,708079420,582902652.333333,865769.654,1485.66575116492,1.21346651154613,12674124022
"Africa",1995,766369545.333333,597574330,879476.684,1471.77888066745,1.28111964725893,13440493567.3333
"Africa",1996,819989892.666667,612734880.666667,909043.430333333,1483.22697308836,1.33775818672648,14260483460
"Africa",1997,852737710,628168934,943596.377333333,1501.7022315176,1.35745399024395,15113221170
"Africa",1998,875147175.333333,644270523.333333,979908.020333333,1520.79929106038,1.35838512995707,15988368345.3333
"Africa",1999,884954067.333333,660422907.333333,1010122.32533333,1529.40099690269,1.34040848455038,16873322412.6667
"Africa",2000,897617220,676675970,1042992.64933333,1541.11476842007,1.32681797029242,17770939632.6667
"Africa",2001,899268118,693259013.333333,1081092.03566667,1559.05563668802,1.29746884604722,18670207750.6667
"Africa",2002,897452694,710334525.666667,1131050.69966667,1591.6595171985,1.26432861440026,19567660444.6667
"Africa",2003,915733147.333333,728010185,1187857.62466667,1630.88693453661,1.25760827069388,20483393592
"Africa",2004,955322778.666667,746294937,1254975,1680.7859437377,1.27904516479131,21438716370.6667
"Africa",2005,1008060332,765141016.666667,1327451.841,1733.93147315059,1.31728644749541,22446776702.6667
"Africa",2006,1040160895.33333,784494186,1407519.72233333,1793.17027223095,1.3259731989408,23486937598
"Africa",2007,1064692582.66667,804358825.333333,1493588.61866667,1855.806892503,1.32362002075295,24551630180.6667
"Africa",2008,1100826282,824822613.333333,1580588.31833333,1915.2834157562,1.33436869508726,25652456462.6667
"Africa",2009,1127058594.66667,845930766,1660182.835,1961.93775611369,1.33239710476126,26779515057.3333
"Africa",2010,1157095214,867664912,1742093.70733333,2007.08071253634,1.33377569485096,27936610271.3333
"Africa",2011,1182799222.66667,889876233,1807541.699,2030.81300063284,1.3289916892075,29119409494
"Africa",2012,1213186339.33333,924876396,1914508.72466667,2069.06303832815,1.31280781076572,30332595833.3333
"Africa",2013,1232382362.66667,960791070.666667,2012573.20266667,2093.34440345136,1.28417723879568,31564978196
"Africa",2014,1264776283.33333,997711681,2125616.22866667,2130.10981111236,1.26750505686445,32829754479.3333
"Africa",2015,1285083813.33333,1023239017,2199288.217,2149.03749798669,1.25597594799403,34114838292.6667
"Africa",2016,1314514636.66667,1049059346,2261988.858,2156.22947590003,1.25347853379216,35429352929.3333
"Africa",2017,1322078100,1075192817,2324700.528,2162.07560710451,1.22975446651351,36751431029.3333
"Africa",2018,1333562400,1101731868.66667,2389835.633,2168.8796825796,1.21089680661826,38084993429.3333
"Africa",2019,1366523356.66667,1128600534.66667,2461247.07033333,2180.67496818089,1.21067426167486,39451516786
"Africa",2020,1361164006.66667,1155604802,2483476.08566667,2149.90095828134,1.17832328053653,40812680792.6667
"Africa",2021,1385331650,1182558716,2524551.661,2135.16128587596,1.17204958291944,42198012442.6667
"Africa",2022,1370654163.33333,1209564438.33333,2574617.31266667,2127.91111025227,1.13319568824089,43568666606
"Developing America",1972,526846652.666667,287476424,1389161.09266667,4829.2001977825,1.83189866566218,1036154032.66667
"Developing America",1973,561179498.666667,294522820,1488077.93466667,5048.59039724702,1.90404814443996,1597333531.33333
"Developing America",1974,598305343.333333,301667503,1593616.625,5278.84178488876,1.98182125623022,2195638874.66667
"Developing America",1975,630371026.666667,308895780,1689089.32433333,5465.95478067347,2.04030965989298,2826009901.33333
"Developing America",1976,656264982.666667,316198023.333333,1779156.838,5624.61076611687,2.075195843318,3482274884
"Developing America",1977,680688562.666667,323589253.666667,1866425.72666667,5765.24175958241,2.10281458139424,4162963446.66667
"Developing America",1978,720398032,331096839.333333,1959393.83066667,5915.93175619061,2.17454392664263,4883361478.66667
"Developing America",1979,767226338,338725190,2060393.335,6080.18897869313,2.26336660817165,5650587816.66667
"Developing America",1980,817607420.666667,346454240.666667,2172274.65766667,6266.63689705493,2.35867578677353,6468195237.33333
"Developing America",1981,847382795.333333,354922493.666667,2266261.34033333,6384.36015220235,2.38769417540661,7315578032.66667
"Developing America",1982,866864138,363448876.333333,2312844.585,6365.79874536377,2.3857094783028,8182442170.66667
"Developing America",1983,860514748,372057079,2299564.83566667,6183.87115276041,2.31382500128439,9042956918.66667
"Developing America",1984,857765293.333333,380088550,2303626.977,6062.12611990293,2.25800895662711,9900722212
"Developing America",1985,855814453.333333,388197741,2334102.24433333,6011.80467006797,2.20468859477512,10756536665.3333
"Developing America",1986,876509564,396332134.333333,2413540.80833333,6088.67082623789,2.21119754095611,11633046229.3333
"Developing America",1987,910470985.333333,404462453.666667,2493034.029,6162.61398323855,2.25039386614898,12543517214.6667
"Developing America",1988,943676740,412597811.333333,2557556.66,6198.66561415044,2.28667042383384,13487193954.6667
"Developing America",1989,972953100.666667,420746723,2599320.54533333,6178.72986773665,2.31236936908748,14460147055.3333
"Developing America",1990,990176584,428921196.666667,2616649.97466667,6101.55211307388,2.30865431055861,15450323639.3333
"Developing America",1991,1006788982.66667,437090256.333333,2659931.81133333,6085.47071769821,2.30350312356116,16457112622
"Developing America",1992,1021374101.33333,445233866,2722764.509,6114.230523443,2.29405172306807,17478486723.3333
"Developing America",1993,1045753274,453325154.666667,2820272.95,6220.07913748996,2.30665244384207,18524239997.3333
"Developing America",1994,1070102451.33333,461357687,2930160.70733333,6349.35653331569,2.31918748390805,19594342448.6667
"Developing America",1995,1096201174.66667,469342029,3022364.126,6438.80611221862,2.33558064212164,20690543623.3333
"Developing America",1996,1125121710.66667,477271947.666667,3115866.727,6528.0186788511,2.35706908263094,21815665334
"Developing America",1997,1171968312,485154976,3222280.108,6639.70367128625,2.41473256483539,22987633646
"Developing America",1998,1240110703.33333,493001766,3347942.56366667,6789.25432153595,2.51416070168268,24227744349.3333
"Developing America",1999,1290807122,500809689,3434701.29266667,6858.50871331202,2.57704479592658,25518551471.3333
"Developing America",2000,1321097798,508521335.333333,3504410.772,6891.23128250624,2.59823787773582,26839649269.3333
"Developing America",2001,1323881406.66667,516053038,3550522.88866667,6879.78535548659,2.56562257797697,28163530676
"Developing America",2002,1340362508.66667,523367345.333333,3594032.63233333,6867.93347408924,2.56104348035391,29503893184.6667
