"OID","Country or Area","Year","Description","Magnitude","Value"
"91493I..ZF...","ALBANIA","2007","INCREASE/DECREASE(-)IN STOCKS","LEKS","-20051800000"
"91493E..ZF...","ALBANIA","2007","GROSS FIXED CAPITAL FORMATION","LEKS","374876000000"
"91493I..ZF...","ALBANIA","2006","INCREASE/DECREASE(-)IN STOCKS","LEKS","-24712000000"
"91493E..ZF...","ALBANIA","2006","GROSS FIXED CAPITAL FORMATION","LEKS","343882000000"
"91493I..ZF...","ALBANIA","2005","INCREASE/DECREASE(-)IN STOCKS","LEKS","-9904440000"
"91493E..ZF...","ALBANIA","2005","GROSS FIXED CAPITAL FORMATION","LEKS","301354000000"
"91493I..ZF...","ALBANIA","2004","INCREASE/DECREASE(-)IN STOCKS","LEKS","-28612000000"
"91493E..ZF...","ALBANIA","2004","GROSS FIXED CAPITAL FORMATION","LEKS","279378000000"
"91493I..ZF...","ALBANIA","2003","INCREASE/DECREASE(-)IN STOCKS","LEKS","-12635100000"
"91493E..ZF...","ALBANIA","2003","GROSS FIXED CAPITAL FORMATION","LEKS","280921000000"
"91493I..ZF...","ALBANIA","2002","INCREASE/DECREASE(-)IN STOCKS","LEKS","5174940000"
"91493E..ZF...","ALBANIA","2002","GROSS FIXED CAPITAL FORMATION","LEKS","236021000000"
"91493I..ZF...","ALBANIA","2001","INCREASE/DECREASE(-)IN STOCKS","LEKS","7755390000"
"91493E..ZF...","ALBANIA","2001","GROSS FIXED CAPITAL FORMATION","LEKS","223780000000"
"91493I..ZF...","ALBANIA","2000","INCREASE/DECREASE(-)IN STOCKS","LEKS","12763600000"
"91493E..ZF...","ALBANIA","2000","GROSS FIXED CAPITAL FORMATION","LEKS","165984000000"
"91493I..ZF...","ALBANIA","1999","INCREASE/DECREASE(-)IN STOCKS","LEKS","3497280000"
"91493E..ZF...","ALBANIA","1999","GROSS FIXED CAPITAL FORMATION","LEKS","108399000000"
"91493I..ZF...","ALBANIA","1998","INCREASE/DECREASE(-)IN STOCKS","LEKS","1388960000"
"91493E..ZF...","ALBANIA","1998","GROSS FIXED CAPITAL FORMATION","LEKS","86030200000"
"91493I..ZF...","ALBANIA","1997","INCREASE/DECREASE(-)IN STOCKS","LEKS","-12266800000"
"91493E..ZF...","ALBANIA","1997","GROSS FIXED CAPITAL FORMATION","LEKS","70939400000"
"91493I..ZF...","ALBANIA","1996","INCREASE/DECREASE(-)IN STOCKS","LEKS","-24367200000"
"91493E..ZF...","ALBANIA","1996","GROSS FIXED CAPITAL FORMATION","LEKS","73279300000"
