Year,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
1995,IN0001.20,"All groups",46.28,,,,,"No value reported or collected"
1995,IN0001.01,"All food",79.55,,,,,"No value reported or collected"
1995,IN0001.02,"Food",80.53,,,,,"No value reported or collected"
1995,IN0001.03,"Tropical beverages",87.24,,,,,"No value reported or collected"
1995,IN0001.04,"Vegetable oilseeds and oils",73.45,,,,,"No value reported or collected"
1995,IN0001.06,"Agricultural raw materials",99.15,,,,,"No value reported or collected"
1995,IN0001.07,"Minerals, ores and metals",44.39,,,,,"No value reported or collected"
1995,IN0001.08,"Minerals, ores and non-precious metals",58.28,,,,,"No value reported or collected"
1995,IN0001.09,"Precious metals",33.41,,,,,"No value reported or collected"
1995,IN0001.10,"Fuels",36.64,,,,,"No value reported or collected"
1995,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
1995,IN0001.05,"Tropical beverages and food",82.19,,,,,"No value reported or collected"
1995,IN0001.22,"All groups excl. fuels",61.9,,,,,"No value reported or collected"
1995,IN0001.23,"All groups excl. precious metals",48.01,,,,,"No value reported or collected"
1995,IN0001.24,"All groups excl. precious metals and fuels",74.73,,,,,"No value reported or collected"
1996,IN0001.20,"All groups",50.22,,,8.5134,,
1996,IN0001.01,"All food",78.21,,,-1.6845,,
1996,IN0001.02,"Food",80.79,,,0.3229,,
1996,IN0001.03,"Tropical beverages",72.27,,,-17.1596,,
1996,IN0001.04,"Vegetable oilseeds and oils",77.12,,,4.9966,,
1996,IN0001.06,"Agricultural raw materials",90.65,,,-8.5729,,
1996,IN0001.07,"Minerals, ores and metals",42.1,,,-5.1588,,
1996,IN0001.08,"Minerals, ores and non-precious metals",52.89,,,-9.2485,,
1996,IN0001.09,"Precious metals",33.57,,,0.4789,,
1996,IN0001.10,"Fuels",44.6,,,21.7249,,
1996,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
1996,IN0001.05,"Tropical beverages and food",78.69,,,-4.2584,,
1996,IN0001.22,"All groups excl. fuels",59.34,,,-4.1357,,
1996,IN0001.23,"All groups excl. precious metals",52.46,,,9.2689,,
1996,IN0001.24,"All groups excl. precious metals and fuels",70.95,,,-5.0582,,
1997,IN0001.20,"All groups",48.14,,,-4.1418,,
1997,IN0001.01,"All food",80.19,,,2.5316,,
1997,IN0001.02,"Food",77.2,,,-4.4436,,
1997,IN0001.03,"Tropical beverages",97,,,34.2189,,
1997,IN0001.04,"Vegetable oilseeds and oils",75.83,,,-1.6727,,
1997,IN0001.06,"Agricultural raw materials",83.86,,,-7.4903,,
1997,IN0001.07,"Minerals, ores and metals",39.59,,,-5.962,,
1997,IN0001.08,"Minerals, ores and non-precious metals",52.84,,,-0.0945,,
1997,IN0001.09,"Precious metals",29.12,,,-13.2559,,
1997,IN0001.10,"Fuels",42.07,,,-5.6726,,
1997,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
1997,IN0001.05,"Tropical beverages and food",82.08,,,4.308,,
1997,IN0001.22,"All groups excl. fuels",57.98,,,-2.2919,,
1997,IN0001.23,"All groups excl. precious metals",50.69,,,-3.374,,
1997,IN0001.24,"All groups excl. precious metals and fuels",70.97,,,0.0282,,
1998,IN0001.20,"All groups",38.49,,,-20.0457,,
1998,IN0001.01,"All food",72.57,,,-9.5024,,
1998,IN0001.02,"Food",70.73,,,-8.3808,,
1998,IN0001.03,"Tropical beverages",79.1,,,-18.4536,,
1998,IN0001.04,"Vegetable oilseeds and oils",72.04,,,-4.998,,
1998,IN0001.06,"Agricultural raw materials",67.66,,,-19.3179,,
1998,IN0001.07,"Minerals, ores and metals",34.7,,,-12.3516,,
1998,IN0001.08,"Minerals, ores and non-precious metals",45.04,,,-14.7615,,
1998,IN0001.09,"Precious metals",26.53,,,-8.8942,,
1998,IN0001.10,"Fuels",30.75,,,-26.9075,,
1998,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
1998,IN0001.05,"Tropical beverages and food",72.8,,,-11.306,,
1998,IN0001.22,"All groups excl. fuels",51.05,,,-11.9524,,
1998,IN0001.23,"All groups excl. precious metals",40.1,,,-20.8917,,
1998,IN0001.24,"All groups excl. precious metals and fuels",62.09,,,-12.5123,,
1999,IN0001.20,"All groups",41.12,,,6.8329,,
1999,IN0001.01,"All food",59.39,,,-18.1618,,
1999,IN0001.02,"Food",60.79,,,-14.0534,,
1999,IN0001.03,"Tropical beverages",61.6,,,-22.1239,,
1999,IN0001.04,"Vegetable oilseeds and oils",55.69,,,-22.6957,,
1999,IN0001.06,"Agricultural raw materials",66.77,,,-1.3154,,
1999,IN0001.07,"Minerals, ores and metals",33.64,,,-3.0548,,
1999,IN0001.08,"Minerals, ores and non-precious metals",44.27,,,-1.7096,,
1999,IN0001.09,"Precious metals",25.25,,,-4.8247,,
1999,IN0001.10,"Fuels",38.23,,,24.3252,,
1999,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
1999,IN0001.05,"Tropical beverages and food",60.99,,,-16.2225,,
1999,IN0001.22,"All groups excl. fuels",45.79,,,-10.3036,,
1999,IN0001.23,"All groups excl. precious metals",43.25,,,7.8554,,
1999,IN0001.24,"All groups excl. precious metals and fuels",55.05,,,-11.3384,,
2000,IN0001.20,"All groups",56.21,,,36.6975,,
2000,IN0001.01,"All food",58.22,,,-1.97,,
2000,IN0001.02,"Food",64.04,,,5.3463,,
2000,IN0001.03,"Tropical beverages",53.15,,,-13.7175,,
2000,IN0001.04,"Vegetable oilseeds and oils",50.96,,,-8.4934,,
2000,IN0001.06,"Agricultural raw materials",69,,,3.3398,,
2000,IN0001.07,"Minerals, ores and metals",36.4,,,8.2045,,
2000,IN0001.08,"Minerals, ores and non-precious metals",49.77,,,12.4238,,
2000,IN0001.09,"Precious metals",25.83,,,2.297,,
2000,IN0001.10,"Fuels",61.81,,,61.6793,,
2000,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2000,IN0001.05,"Tropical beverages and food",61.36,,,0.6067,,
2000,IN0001.22,"All groups excl. fuels",47.13,,,2.9264,,
2000,IN0001.23,"All groups excl. precious metals",60.29,,,39.3988,,
2000,IN0001.24,"All groups excl. precious metals and fuels",56.72,,,3.0336,,
2001,IN0001.20,"All groups",51.43,,,-8.5038,,
2001,IN0001.01,"All food",54.46,,,-6.4583,,
2001,IN0001.02,"Food",63.21,,,-1.2961,,
2001,IN0001.03,"Tropical beverages",40.03,,,-24.6849,,
2001,IN0001.04,"Vegetable oilseeds and oils",47.44,,,-6.9074,,
2001,IN0001.06,"Agricultural raw materials",63.38,,,-8.1449,,
2001,IN0001.07,"Minerals, ores and metals",34.35,,,-5.6319,,
2001,IN0001.08,"Minerals, ores and non-precious metals",46.37,,,-6.8314,,
2001,IN0001.09,"Precious metals",24.86,,,-3.7553,,
2001,IN0001.10,"Fuels",55.92,,,-9.5292,,
2001,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2001,IN0001.05,"Tropical beverages and food",57.49,,,-6.307,,
2001,IN0001.22,"All groups excl. fuels",44.15,,,-6.3229,,
2001,IN0001.23,"All groups excl. precious metals",55,,,-8.7743,,
2001,IN0001.24,"All groups excl. precious metals and fuels",52.83,,,-6.8583,,
2002,IN0001.20,"All groups",50.32,,,-2.1583,,
2002,IN0001.01,"All food",54.88,,,0.7712,,
2002,IN0001.02,"Food",58.03,,,-8.1949,,
2002,IN0001.03,"Tropical beverages",43.45,,,8.5436,,
2002,IN0001.04,"Vegetable oilseeds and oils",55.91,,,17.8541,,
2002,IN0001.06,"Agricultural raw materials",66.99,,,5.6958,,
2002,IN0001.07,"Minerals, ores and metals",35.46,,,3.2314,,
2002,IN0001.08,"Minerals, ores and non-precious metals",44.92,,,-3.127,,
2002,IN0001.09,"Precious metals",27.98,,,12.5503,,
2002,IN0001.10,"Fuels",53.44,,,-4.4349,,
2002,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2002,IN0001.05,"Tropical beverages and food",54.43,,,-5.3227,,
2002,IN0001.22,"All groups excl. fuels",45.26,,,2.5142,,
2002,IN0001.23,"All groups excl. precious metals",53.32,,,-3.0545,,
2002,IN0001.24,"All groups excl. precious metals and fuels",53.03,,,0.3786,,
2003,IN0001.20,"All groups",60.46,,,20.151,,
2003,IN0001.01,"All food",59.87,,,9.0926,,
2003,IN0001.02,"Food",59.74,,,2.9468,,
2003,IN0001.03,"Tropical beverages",46.09,,,6.0759,,
2003,IN0001.04,"Vegetable oilseeds and oils",67.92,,,21.481,,
2003,IN0001.06,"Agricultural raw materials",74.42,,,11.0912,,
2003,IN0001.07,"Minerals, ores and metals",40.04,,,12.916,,
