UNCTAD_code,UNCTAD,comtrade_name,WDI,OECD_DAC,WEF,WTTC,UNWTO,IAEG-SDG,ggmap,GFI,globalAI,ITU_1,GW,UNmapCore_ROMNAM,UNmapCore_MAPCLR,comtrade_code,ISO2,ISO3,unctad_old_development_status,unctad_development_status,region,LDC,LLDC,SIDS_UNCTAD,SIDS_UNCTAD_plus,ITU_2,TMP,DsibMap_ID,UNCTAD_SIDS_region,CIA,UNDP,ILO,gwcode,cowcode,oecd_db_code,UNCTAD_investment_policy,UNCTAD_region,UNCTAD_subregion_1,UNCTAD_subregion_2,r_map,esri_map,EDGAR,UNEP,IPC,wb_income_classification,wb_region,gro_intelligence,black_sea_grain_initiative_name,sealive,UNECE,UNECA,ECLAC,ESCWA,ESCAP,europe_central_asia,un_member_state_official,un_member_state_official_readable,practical_readable,debt_story_ECLAC,debt_story_ESCWA,debt_story_ESCAP,debt_story_UNECA,debt_story_UNECE,NATO,OWID,datawrapper_flags,datawrapper_maps,NDC,EU,fips
4,Afghanistan,Afghanistan,Afghanistan,Afghanistan,,,Afghanistan,Afghanistan,Afghanistan,"Afghanistan, Islamic Republic of",,Afghanistan,700,Afghanistan,AFG,4,AF,AFG,developing,developing,Southern Asia,1,1,0,0,Afghanistan,Afghanistan,,,Afghanistan,Afghanistan,Afghanistan,700,700,625,Afghanistan,Asia and Oceania,Asia,Southern Asia,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Low income,South Asia,Afghanistan,Afghanistan,,0,0,0,0,1,0,Afghanistan,Afghanistan,Afghanistan,0,0,1,0,0,0,Afghanistan,:af:,4,1,0,AF
,,"Africa, not elsewhere specified",,,,,,,,,,,,,,577,,NES,,NA,,0,0,0,0,,,,,,,,,,,,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
8,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,,Albania,339,Albania,ALB,8,AL,ALB,transition,developed,Europe,0,0,0,0,Albania,Albania,,,Albania,Albania,Albania,339,339,71,Albania,Europe,Southern Europe,,Albania,Albania,Albania,Albania,,Upper middle income,Europe & Central Asia,Albania,,Albania,1,0,0,0,0,1,Albania,Albania,Albania,0,0,0,0,1,1,Albania,:al:,8,1,0,AL
12,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,,Algeria,615,Algeria,DZA,12,DZ,DZA,developing,developing,Northern Africa,0,0,0,0,Algeria,Algeria,,,Algeria,Algeria,Algeria,615,615,130,Algeria,Africa,Northern Africa,,Algeria,Algeria,Algeria,Algeria,,Lower middle income,Middle East & North Africa,Algeria,Algeria,Algeria,0,1,0,1,0,0,Algeria,Algeria,Algeria,0,1,0,1,0,0,Algeria,:dz:,12,1,0,AG
16,American Samoa,American Samoa,American Samoa,,,,American Samoa,,American Samoa,,,American Samoa,,American Samoa,USA,16,AS,ASM,developing,developing,Oceania,0,0,0,0,American Samoa,,,,American Samoa,,,,,,,Asia and Oceania,Oceania,,American Samoa,American Samoa,,,,Upper middle income,East Asia & Pacific,,,American Samoa,0,0,0,0,1,0,,,,0,0,0,0,0,0,American Samoa,:as:,16,0,0,AQ
20,Andorra,Andorra,Andorra,,,,Andorra,,Andorra,,Andorra,Andorra,232,Andorra,AND,20,AD,AND,developed,developed,Europe,0,0,0,0,Andorra,Andorra,,,Andorra,Andorra,,232,232,,Andorra,Europe,Southern Europe,,Andorra,Andorra,Spain and Andorra,Andorra,,High income,Europe & Central Asia,,,,1,0,0,0,0,0,Andorra,Andorra,Andorra,0,0,0,0,0,0,Andorra,:ad:,20,1,0,AN
24,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,,Angola,540,Angola,AGO,24,AO,AGO,developing,developing,Sub-Saharan Africa,1,0,0,0,Angola,Angola,,,Angola,Angola,Angola,540,540,225,Angola,Africa,Sub-Saharan Africa,Middle Africa,Angola,Angola,Angola,Angola,Angola,Lower middle income,Sub-Saharan Africa,Angola,,Angola,0,1,0,0,0,0,Angola,Angola,Angola,0,0,0,1,0,0,Angola,:ao:,24,1,0,AO
660,Anguilla,Anguilla,,Anguilla,,Anguilla,Anguilla,Anguilla,Anguilla,,,Anguilla,,Anguilla,AIA,660,AI,AIA,developing,developing,Latin America and the Caribbean,0,0,0,0,Anguilla,Anguilla,,,Anguilla,,,,,376,,America,Latin America and the Caribbean,Caribbean,Anguilla,Anguilla,Anguilla,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,Anguilla,:ai:,660,0,0,AV
10,,Antarctica,,,,,,,,,,,,,,10,AQ,ATA,,NA,,0,0,0,0,,,,,,,,,,,,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
28,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,,Antigua and Barbuda,Antigua And Barbuda,Antigua and Barbuda,Antigua,Antigua and Barbuda,,Antigua and Barbuda,58,Antigua & Barbuda,ATG,28,AG,ATG,developing,developing,Latin America and the Caribbean,0,0,1,1,Antigua and Barbuda,Antigua and Barbuda,11,Caribbean SIDS ,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,58,58,377,Antigua and Barbuda,America,Latin America and the Caribbean,Caribbean,Antigua,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,,High income,Latin America & Caribbean,,,Antigua & Barbuda,0,0,1,0,0,0,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,1,0,0,0,0,0,Antigua and Barbuda,:ag:,28,1,0,AC
32,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,160,Argentina,ARG,32,AR,ARG,developing,developing,Latin America and the Caribbean,0,0,0,0,Argentina,Argentina,,,Argentina,Argentina,Argentina,160,160,425,Argentina,America,Latin America and the Caribbean,South America,Argentina,Argentina,Argentina,Argentina,,Upper middle income,Latin America & Caribbean,Argentina,,Argentina,0,0,1,0,0,0,Argentina,Argentina,Argentina,1,0,0,0,0,0,Argentina,:ar:,32,1,0,AR
51,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,"Armenia, Republic of",,Armenia,371,Armenia,ARM,51,AM,ARM,transition,developing,Western Asia,0,1,0,0,Armenia,Armenia,,,Armenia,Armenia,Armenia,371,371,610,Armenia,Asia and Oceania,Asia,Western Asia,Armenia,Armenia,Armenia,Armenia,,Upper middle income,Europe & Central Asia,Armenia,,,1,0,0,0,1,1,Armenia,Armenia,Armenia,0,0,1,0,1,0,Armenia,:am:,51,1,0,AM
533,Aruba,Aruba,Aruba,,,Aruba,Aruba,,Aruba,Aruba,,Aruba,,Aruba,NLD,533,AW,ABW,developing,developing,Latin America and the Caribbean,0,0,0,0,Aruba,Aruba,,,Aruba,,,,,,,America,Latin America and the Caribbean,Caribbean,Aruba,Aruba,Aruba,,,High income,Latin America & Caribbean,,,Aruba,0,0,0,0,0,0,,,,0,0,0,0,0,0,Aruba,:aw:,533,0,0,AA
,,"Asia, not elsewhere specified",,,,,,,,,,,,,,490,,NES,,NA,,0,0,0,0,,,,,,,,,,,,Asia and Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
36,Australia,Australia,Australia,,Australia,Australia,Australia,,Australia,,Australia,Australia,900,Australia,AUS,36,AU,AUS,developed,developed,Oceania,0,0,0,0,Australia,Australia,,,Australia,Australia,Australia,900,900,801,Australia,Asia and Oceania,Oceania,,Australia,Australia,Australia,Australia,,High income,East Asia & Pacific,Australia,,Australia,0,0,0,0,1,0,Australia,Australia,Australia,0,0,0,0,0,0,Australia,:au:,36,1,0,AS
40,Austria,Austria,Austria,,Austria,Austria,Austria,,Austria,,Austria,Austria,305,Austria,AUT,40,AT,AUT,developed,developed,Europe,0,0,0,0,Austria,Austria,,,Austria,Austria,Austria,305,305,1,Austria,Europe,Western Europe,,Austria,Austria,Austria,Austria,,High income,Europe & Central Asia,Austria,,Austria,1,0,0,0,0,0,Austria,Austria,Austria,0,0,0,0,0,0,Austria,:at:,40,1,1,AU
31,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,"Azerbaijan, Republic of",Azerbaijan,Azerbaijan,373,Azerbaijan,AZE,31,AZ,AZE,transition,developing,Western Asia,0,1,0,0,Azerbaijan,Azerbaijan,,,Azerbaijan,Azerbaijan,Azerbaijan,373,373,611,Azerbaijan,Asia and Oceania,Asia,Western Asia,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,,Upper middle income,Europe & Central Asia,Azerbaijan,,Azerbaijan,1,0,0,0,1,1,Azerbaijan,Azerbaijan,Azerbaijan,0,0,1,0,1,0,Azerbaijan,:az:,31,1,0,AJ
44,Bahamas,Bahamas,"Bahamas, The",,,Bahamas,Bahamas,,Bahamas,"Bahamas, The",,Bahamas,31,Bahamas,BHS,44,BS,BHS,developing,developing,Latin America and the Caribbean,0,0,1,1,Bahamas,Bahamas,16,Caribbean SIDS ,"Bahamas, The",Bahamas,Bahamas,31,31,328,Bahamas,America,Latin America and the Caribbean,Caribbean,Bahamas,"Bahamas, The",Bahamas,Bahamas,,High income,Latin America & Caribbean,,,Bahamas,0,0,1,0,0,0,Bahamas,Bahamas,Bahamas,1,0,0,0,0,0,Bahamas,:bs:,44,1,0,BF
48,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,"Bahrain, Kingdom of",Bahrain,Bahrain,692,Bahrain,BHR,48,BH,BHR,developing,developing,Western Asia,0,0,0,0,Bahrain,Bahrain,,,Bahrain,Bahrain,Bahrain,692,692,530,Bahrain,Asia and Oceania,Asia,Western Asia,Bahrain,Bahrain,Bahrain,Bahrain,,High income,Middle East & North Africa,,,Bahrain,0,0,0,1,0,0,Bahrain,Bahrain,Bahrain,0,1,0,0,0,0,Bahrain,:bh:,48,1,0,BA
