"ISO3","gdp_per_capita","co2_per_capita","co2","region1"
"AGO",7407.10529226277,0.569003,20250.226,"Africa"
"ALB",17260.1194661056,1.820122,5173.371,"Developed"
"AND",63818.3092688511,5.256079,419.561,"Developed"
"ARE",73724.3071618058,23.935405,225977.243,"Developing Asia and Oceania"
"ARG",27127.4390969332,4.484273,204080.687,"Latin America and the Caribbean"
"ARM",19100.2456307942,2.576746,7164.562,"Developing Asia and Oceania"
"ATG",27757.17352739,6.592309,618.115,"Latin America and the Caribbean"
"AUS",59099.8479392401,14.682969,384362.147,"Developed"
"AUT",65836.8893659608,6.878271,61489.111,"Developed"
"AZE",21051.2687619289,3.899516,40391.479,"Developing Asia and Oceania"
"BDI",857.15362584722,0.054873,707.285,"Africa"
"BEL",63450.4500400983,7.635775,89002.058,"Developed"
"BEN",3697.61143218213,0.433793,5792.374,"Africa"
"BFA",2448.13391064404,0.281113,6373.887,"Africa"
"BGD",7805.15301880035,0.66514,113862.91,"Developing Asia and Oceania"
"BGR",32510.0409885279,6.925103,46965.722,"Developed"
"BHR",56663.1812114179,24.216274,35651.998,"Developing Asia and Oceania"
"BHS",31424.8714469523,5.857946,2401.664,"Latin America and the Caribbean"
"BIH",19395.9271348867,6.483126,20963.357,"Developed"
"BLR",26537.550343774,6.22807,59384.363,"Developed"
"BLZ",12407.0171012924,1.560527,632.438,"Latin America and the Caribbean"
"BOL",9565.31572598267,1.830664,22378.241,"Latin America and the Caribbean"
"BRA",18122.5746319169,2.247145,483840.575,"Latin America and the Caribbean"
"BRB",16715.2632361986,4.059544,1143.31,"Latin America and the Caribbean"
"BRN",77440.7789811531,25.288135,11354.423,"Developing Asia and Oceania"
"BWA",17298.2192333501,2.507522,6595.524,"Africa"
"CAF",1039.27066886516,0.048488,270.523,"Africa"
"CAN",56872.6053482352,14.318587,550611.613,"Developed"
"CHE",83019.8400472926,3.754819,32818.889,"Developed"
"CHL",29480.955184558,4.210265,82536.911,"Latin America and the Caribbean"
"CHN",21019.4572309305,7.960333,11350537.667,"Developing Asia and Oceania"
"CIV",6758.36823235771,0.484502,13643.841,"Africa"
"CMR",4785.68319705185,0.359878,10045.834,"Africa"
"COD",1432.8561077019,0.046769,4630.596,"Africa"
"COG",6272.32743533689,1.358569,8111.232,"Africa"
"COL",18739.1181123492,1.894831,98292.51,"Latin America and the Caribbean"
"COM",3445.05821859748,0.538874,450.916,"Africa"
"CPV",7861.61896436892,0.935642,554.975,"Africa"
"CRI",24650.4890119049,1.514673,7847.264,"Latin America and the Caribbean"
"CYP",36632.1134846343,5.751173,7197.524,"Developed"
"CZE",48783.992777454,9.063073,95107.761,"Developed"
